Column,Mean,Std_Dev,RSD,Median,Max,Min
268,0.0069,0.0395,569.01,0.0001,1.0,0.0
130,0.0118,0.0395,334.05,0.0009,1.0,0.0
65,0.0125,0.0393,314.42,0.0012,1.0,0.0
233,0.0087,0.0393,451.04,0.0001,1.0,0.0
326,0.0098,0.0389,394.6,0.0005,1.0,0.0
77,0.0094,0.0385,410.54,0.0002,1.0,0.0
376,0.0098,0.0385,393.46,0.0005,1.0,0.0
169,0.0064,0.0382,598.69,0.0,1.0,0.0
136,0.0103,0.0381,370.95,0.0008,1.0,0.0
160,0.0106,0.038,358.63,0.001,1.0,0.0
64,0.0127,0.038,300.39,0.0014,1.0,0.0
374,0.0053,0.0378,710.34,0.0,0.9999999999999999,0.0
177,0.0058,0.0375,643.2,0.0,0.9999999999999999,0.0
162,0.0062,0.0375,602.76,0.0,1.0,0.0
147,0.0081,0.0374,460.47,0.0,1.0,0.0
155,0.0063,0.0374,590.62,0.0,1.0,0.0
272,0.0091,0.0372,407.96,0.0011,1.0,0.0
144,0.0099,0.0372,376.96,0.001,1.0,0.0
232,0.0107,0.0372,347.75,0.0011,1.0,0.0
333,0.0074,0.037,498.01,0.0001,0.9999999999999999,0.0
188,0.0034,0.037,1092.62,0.0,1.0,0.0
368,0.0084,0.0369,436.8,0.0006,1.0,0.0
172,0.0041,0.0369,906.43,0.0,1.0,0.0
170,0.0055,0.0369,666.55,0.0,1.0,0.0
146,0.0087,0.0367,423.98,0.0001,1.0,0.0
342,0.0051,0.0363,715.4,0.0,1.0,0.0
269,0.0051,0.0362,709.55,0.0,1.0,0.0
101,0.0063,0.0362,578.72,0.0,1.0,0.0
178,0.0046,0.036,789.45,0.0,1.0,0.0
355,0.0069,0.0357,519.04,0.0,1.0,0.0
371,0.0061,0.0357,582.17,0.0,1.0,0.0
125,0.0039,0.0356,912.28,0.0,1.0,0.0
334,0.0067,0.0356,534.64,0.0,1.0,0.0
322,0.0104,0.0353,340.54,0.0009,1.0,0.0
331,0.0085,0.0352,412.38,0.0004,1.0,0.0
261,0.0103,0.0352,343.15,0.0006,1.0,0.0
87,0.0041,0.0349,857.27,0.0,1.0,0.0
